property_id,city,state,zip,unit_type,monthly_rent,landlord_type,lease_length
00502,"Los Angeles",CA,90036,4BR+,5173,,"6 months"
00503,Aurora,CO,80010,2BR,4184,LLC,"12 months"
00505,Brooklyn,NY,11201,4BR+,9552,LLC,"18 months"
00506,Washington,DC,20001,2BR,1686,Corporate,"18 months"
00507,Miami,FL,33101,Studio,873,"Property Management Co","24 months"
00508,Aurora,CO,80010,Studio,830,LLC,"12 months"
00510,Queens,NY,11101,Studio,1948,REIT,"12 months"
00511,"New York",NY,10001,2BR,5751,Individual,"6 months"
00512,"New York",NY,10003,3BR,8233,LLC,"18 months"
00513,Nashville,TN,37206,1BR,2620,Individual,"12 months"
00514,Boston,MA,02101,Studio,925,LLC,"12 months"
00516,Houston,TX,77025,1BR,1700,"Property Management Co","18 months"
00517,Bellevue,WA,98004,4BR+,5275,,"12 months"
00518,Houston,TX,77019,4BR+,4466,Individual,"12 months"
00519,"New York",NY,10003,2BR,5914,,"12 months"
00520,Queens,NY,11101,3BR,4811,LLC,"12 months"
00521,Aurora,CO,80010,"2 bed",933,Individual,"12 months"
00522,Queens,NY,11101,Studio,985,Corporate,"12 months"
00524,Houston,TX,77019,3BR,3601,"Property Management Co","24 months"
00525,"San Francisco",CA,94110,Studio,2190,LLC,"12 months"
00526,Miami,FL,33130,2BR,3576,REIT,"18 months"
00527,"Los Angeles",CA,90036,1BR,2464,Corporate,"12 months"
00528,"New York",NY,10001,3BR,6192,REIT,"18 months"
00529,Brooklyn,NY,112XX,2BR,3762,Individual,"12 months"
00531,Denver,CO,80201,3BR,4945,LLC,"18 months"
00532,Denver,CO,80201,Studio,1107,REIT,"6 months"
00533,Atlanta,GA,30308,2BR,3061,Corporate,"24 months"
00534,Washington,DC,20001,1BR,2977,,"6 months"
00535,Austin,TX,78701,Studio,1192,Individual,"12 months"
00536,Houston,TX,770XX,Studio,1648,LLC,"18 months"
00537,"New York",NY,10001,2BR,4527,"Property Management Co","18 months"
00539,"Los Angeles",CA,90001,3BR,4537,REIT,"12 months"
00541,Oakland,CA,946XX,4BR+,5047,Corporate,"24 months"
00542,Houston,TX,77001,2BR,1865,Corporate,"24 months"
00543,Nashville,TN,37206,3BR,2488,"Property Management Co","24 months"
00544,Tempe,AZ,85281,3BR,2797,Individual,"12 months"
00545,Boston,MA,02101,2BR,3444,Corporate,"12 months"
00546,Chicago,IL,606XX,1BR,2297,Corporate,"12 months"
00547,Atlanta,GA,30301,2BR,4255,Individual,"24 months"
00548,"New York",NY,10001,4BR+,4903,LLC,"24 months"
00549,Arlington,VA,22201,1BR,2968,LLC,"24 months"
00550,Brooklyn,NY,11205,1BR,2364,Corporate,"6 months"
00551,Miami,FL,33130,3BR,4785,Corporate,"12 months"
00552,Brooklyn,NY,11205,3BR,8985,REIT,"12 months"
00553,Houston,TX,77001,3BR,4913,Corporate,"12 months"
00555,Decatur,GA,30030,1BR,3160,"Property Management Co","6 months"
00556,Washington,DC,20009,2BR,3394,Individual,"12 months"
00557,Decatur,GA,30030,4BR+,3557,REIT,"24 months"
00558,"New York",NY,10002,1BR,4173,REIT,"6 months"
00559,Decatur,GA,30030,Studio,1889,REIT,"24 months"
00562,Austin,TX,78704,Studio,1568,Individual,"12 months"
00563,Bellevue,WA,98004,3BR,5475,Individual,"6 months"
00564,Arlington,VA,22201,3BR,5188,REIT,"18 months"
00565,Chicago,IL,606XX,1BR,1548,Corporate,"24 months"
00566,Atlanta,GA,30301,1BR,1510,,"12 months"
00567,Washington,DC,20001,Studio,1778,REIT,"18 months"
00568,"Fort Lauderdale",FL,33301,1BR,2828,Corporate,"12 months"
00569,Houston,TX,77001,4BR+,8089,LLC,"12 months"
00570,Brooklyn,NY,11205,2BR,5737,LLC,"12 months"
00571,"New York",NY,10002,1BR,2581,LLC,"18 months"
00572,Austin,TX,78701,1BR,1300,LLC,"12 months"
00573,Phoenix,AZ,85001,1BR,2702,Corporate,"24 months"
00574,"Los Angeles",CA,90025,4BR+,6859,Individual,"18 months"
00575,Chicago,IL,60614,3BR,2622,REIT,"12 months"
00576,Aurora,CO,80010,2BR,1652,LLC,"18 months"
00577,Arlington,VA,22201,Studio,1978,Individual,"6 months"
00578,Houston,TX,77019,4BR+,3809,Individual,"12 months"
00579,Houston,TX,77019,4BR+,5855,Individual,"12 months"
00580,Houston,TX,77001,2BR,2980,Corporate,"24 months"
00583,Miami,FL,33130,3BR,3511,LLC,"18 months"
00584,Houston,TX,77025,2BR,3505,REIT,"6 months"
00585,"Fort Lauderdale",FL,33301,4BR+,6529,"Property Management Co","6 months"
00586,Washington,DC,20001,Studio,1533,Individual,"24 months"
00588,Oakland,CA,94601,Studio,1940,Corporate,"12 months"
00589,"Los Angeles",CA,90001,1BR,2632,Individual,"12 months"
00590,"San Francisco",CA,94110,4BR+,11914,REIT,"12 months"
00591,Brooklyn,NY,11201,3BR,3858,REIT,"12 months"
00592,"New York",NY,10002,3BR,6273,LLC,"6 months"
00593,Brooklyn,NY,11201,2BR,4560,Corporate,"18 months"
00595,Seattle,WA,98103,1BR,3324,Corporate,"12 months"
00596,Brooklyn,NY,11205,1BR,3660,Corporate,"6 months"
00597,Phoenix,AZ,85001,3BR,2355,Corporate,"12 months"
00598,Boston,MA,02101,2BR,3492,Corporate,"12 months"
00600,Atlanta,GA,30308,Studio,840,LLC,"12 months"
00601,Denver,CO,80201,2BR,1685,"Property Management Co","12 months"
00602,Nashville,TN,37201,3BR,3088,"Property Management Co","18 months"
00603,Aurora,CO,800XX,Studio,1208,Corporate,"12 months"
00604,Bellevue,WA,98004,3BR,3495,Individual,"12 months"
00605,Seattle,WA,98103,Studio,2314,Corporate,"24 months"
00606,Miami,FL,331XX,Studio,2159,Individual,"6 months"
00607,Cambridge,MA,02139,Studio,1162,Individual,"12 months"
00609,Seattle,WA,98103,3BR,5685,REIT,"12 months"
00611,"San Antonio",TX,78201,2BR,4109,"Property Management Co","24 months"
00612,Scottsdale,AZ,85251,4BR+,7848,Individual,"24 months"
00613,"San Francisco",CA,94110,2BR,5512,REIT,"6 months"
00614,Nashville,TN,37206,3BR,4609,REIT,"24 months"
00615,Boston,MA,02115,3BR,5982,Corporate,"12 months"
00616,Chicago,IL,60601,4BR+,6205,"Property Management Co","6 months"
00617,Brooklyn,NY,11205,2BR,3268,Corporate,"12 months"
00618,Cambridge,MA,02139,4BR+,6031,REIT,"12 months"
00619,"San Francisco",CA,94110,4BR+,10272,REIT,"12 months"
00621,Houston,TX,77001,4BR+,6080,Corporate,"12 months"
00626,Portland,OR,97201,Studio,1991,REIT,"6 months"
00627,Austin,TX,78704,4BR+,4514,REIT,"12 months"
00628,Houston,TX,77019,4BR+,4482,Corporate,"6 months"
00629,"Fort Lauderdale",FL,33301,Studio,1421,Individual,"12 months"
00631,Chicago,IL,60647,studio,1981,"Property Management Co","24 months"
00632,Brooklyn,NY,11201,2BR,6073,REIT,"24 months"
00633,Atlanta,GA,30308,3BR,4666,Corporate,"18 months"
00634,"Los Angeles",CA,90036,1BR,1434,"Property Management Co","12 months"
00635,Atlanta,GA,30301,3BR,5017,REIT,"6 months"
00636,Houston,TX,77001,Studio,833,"Property Management Co","12 months"
00637,Washington,DC,20009,4BR+,3258,"Property Management Co","6 months"
00638,Phoenix,AZ,85001,2BR,1939,"Property Management Co","6 months"
00639,Tempe,AZ,85281,3BR,4097,LLC,"6 months"
00640,Houston,TX,77001,3BR,3786,Individual,"18 months"
00642,"Los Angeles",CA,90036,Studio,849,Corporate,"12 months"
00645,Austin,TX,78704,4BR+,7174,Corporate,"12 months"
00646,Arlington,VA,22201,2BR,2862,"Property Management Co","12 months"
00647,Washington,DC,20009,2BR,4034,Corporate,"12 months"
00648,Nashville,TN,37206,2BR,2437,Corporate,"12 months"
00649,Chicago,IL,60601,2BR,2634,LLC,"12 months"
00651,Boston,MA,02101,4BR+,4888,Corporate,"12 months"
00652,Queens,"NY ",11101,4BR+,3783,LLC,"6 months"
00654,Nashville,TN,37206,3BR,3092,Individual,"12 months"
00655,"New York",NY,10002,3BR,3849,"Property Management Co","6 months"
00656,Washington,DC,20001,4BR+,5090,LLC,"12 months"
00657,Chicago,IL,60614,1BR,1900,Individual,"6 months"
00659,"San Antonio",TX,78201,4BR+,6308,LLC,"18 months"
00660,Cambridge,MA,02139,2BR,3167,REIT,"12 months"
00661,Scottsdale,AZ,85251,3BR,5814,"Property Management Co","6 months"
00662,Phoenix,AZ,850XX,Studio,1521,"Property Management Co","18 months"
00664,Houston,TX,77025,Studio,890,REIT,"12 months"
00665,Nashville,TN,37206,3BR,4082,LLC,"12 months"
00666,Houston,TX,77025,Studio,1688,Corporate,"12 months"
00667,Aurora,CO,80010,3BR,2532,REIT,"12 months"
00668,Denver,CO,80205,4BR+,4926,,"24 months"
00669,Chicago,IL,60601,Studio,804,Individual,"12 months"
00671,Austin,TX,78704,2BR,2802,Corporate,"12 months"
00672,Boston,MA,02101,2BR,3572,REIT,"12 months"
00673,"San Antonio",TX,78201,3BR,5541,Individual,"12 months"
00674,Tempe,AZ,85281,4BR+,4478,LLC,"24 months"
00675,Tempe,AZ,85281,2BR,3765,"Property Management Co","18 months"
00676,"San Francisco",CA,94102,1BR,3018,"Property Management Co","18 months"
00678,Phoenix,AZ,85001,Studio,1003,Individual,"6 months"
00679,"Fort Lauderdale",FL,33301,1BR,2948,Corporate,"18 months"
00680,Queens,NY,11101,Studio,1132,Corporate,"24 months"
00681,Brooklyn,NY,11205,1BR,4686,REIT,"6 months"
00682,Oakland,CA,94601,4BR+,6878,Individual,"12 months"
00683,Portland,OR,97201,2BR,2749,Individual,"12 months"
00684,"Los Angeles",CA,90025,Studio,1341,LLC,"6 months"
00685,Denver,CO,80205,Studio,1438,REIT,"12 months"
00686,Chicago,IL,60647,4BR+,4037,"Property Management Co","12 months"
00687,Houston,TX,77001,studio,7839,Corporate,"24 months"
00688,"San Francisco",CA,94110,Studio,3261,Individual,"24 months"
00690,"San Antonio",TX,78201,1BR,1344,REIT,"12 months"
00692,"New York",NY,10002,Studio,2941,,"12 months"
00693,"San Francisco",CA,94102,2BR,3588,Individual,"12 months"
00695,Houston,TX,77019,1BR,1496,LLC,"24 months"
00696,"Fort Lauderdale",FL,33301,4BR+,4772,"Property Management Co","24 months"
00697,"San Francisco",CA,94102,Studio,3249,Corporate,"6 months"
00698,Chicago,IL,60614,3BR,3734,LLC,"18 months"
00699,Boston,MA,02101,3BR,3940,LLC,"12 months"
00700,Brooklyn,NY,11201,1BR,2344,LLC,"18 months"
00701,Atlanta,GA,30308,Studio,1331,LLC,"12 months"
00702,"New York",NY,10002,Studio,1234,"Property Management Co","24 months"
00703,Oakland,CA,94601,Studio,1106,Individual,"12 months"
00704,Denver,CO,80201,3BR,4114,"Property Management Co","18 months"
00705,Houston,TX,77025,2BR,3099,LLC,"18 months"
00706,Chicago,IL,60647,1BR,1348,Corporate,"12 months"
00708,Atlanta,GA,30301,3BR,5387,Corporate,"18 months"
00709,Nashville,TN,37206,1BR,1885,Corporate,"12 months"
00711,"Los Angeles",CA,90001,Studio,993,"Property Management Co","18 months"
00712,Tempe,AZ,852XX,studio,4091,"Property Management Co","12 months"
00713,Portland,OR,97201,3BR,5078,REIT,"6 months"
00714,Atlanta,GA,30301,4BR+,4850,LLC,"12 months"
00715,Brooklyn,NY,11205,Studio,1983,Individual,"6 months"
00716,"New York",NY,10003,1BR,2898,REIT,"12 months"
00717,Austin,TX,78701,4BR+,6975,Individual,"12 months"
00718,Phoenix,AZ,85001,4BR+,4736,LLC,"12 months"
00719,"New York",NY,10002,3BR,7945,LLC,"12 months"
00720,Queens,NY,11101,4BR+,5999,Corporate,"12 months"
00721,Seattle,WA,98101,1BR,4132,Corporate,"12 months"
00723,Boston,MA,02115,4BR+,5179,Corporate,"6 months"
00724,Miami,FL,33130,1BR,2732,,"12 months"
00725,Brooklyn,NY,11205,Studio,1558,Individual,"12 months"
00726,Aurora,CO,,1BR,1902,"Property Management Co","24 months"
00727,"Los Angeles",CA,90036,4BR+,3754,Individual,"12 months"
00729,"Los Angeles",CA,90025,1BR,2074,Corporate,"12 months"
00730,Tempe,AZ,85281,Studio,993,Corporate,"18 months"
00731,Atlanta,GA,30308,1BR,1892,Corporate,"12 months"
00733,Cambridge,MA,02139,Studio,1570,Individual,"18 months"
00734,Arlington,VA,22201,1BR,1668,Individual,"18 months"
00735,Portland,OR,97201,1BR,2874,"Property Management Co","6 months"
00736,Portland,OR,97201,3BR,3163,Individual,"12 months"
00737,Denver,CO,80201,4BR+,4260,Corporate,"6 months"
00738,Nashville,TN,37201,2BR,4137,"Property Management Co","18 months"
00739,Seattle,WA,98101,1BR,3165,Individual,"24 months"
00740,Phoenix,AZ,85001,1BR,2693,"Property Management Co","12 months"
00741,Decatur,GA,30030,2BR,3597,"Property Management Co","24 months"
00742,Boston,MA,02101,4BR+,5983,"Property Management Co","12 months"
00743,Bellevue,WA,98004,Studio,832,"Property Management Co","6 months"
00744,"Fort Lauderdale",FL,33301,2BR,3706,LLC,"12 months"
00745,"Los Angeles",CA,90036,3BR,5234,REIT,"12 months"
00746,"New York",NY,10002,1BR,1891,REIT,"18 months"
00747,Houston,TX,77019,3BR,2611,Corporate,"12 months"
00748,Arlington,VA,22201,3BR,3700,Corporate,"24 months"
00749,"New York",NY,10001,2BR,2761,Individual,"12 months"
00750,"San Antonio",TX,78201,2BR,3902,LLC,"12 months"
00751,Austin,TX,78704,Studio,2121,LLC,"12 months"
00752,"Los Angeles",CA,90001,3BR,3441,REIT,"24 months"
00753,Scottsdale,AZ,85251,1BR,2710,LLC,"12 months"
00754,Brooklyn,NY,11201,studio,5637,REIT,"6 months"
00755,"New York",NY,10003,2BR,6126,LLC,"6 months"
00757,"San Francisco",CA,94110,2BR,2967,Corporate,"12 months"
00758,Denver,CO,80205,Studio,2096,"Property Management Co","24 months"
00759,"New York",NY,10003,3BR,7861,,"18 months"
00761,Boston,MA,021XX,3BR,5131,REIT,"12 months"
00762,Houston,TX,77019,Studio,1331,Individual,"12 months"
00763,Seattle,WA,98101,4BR+,7707,"Property Management Co","12 months"
00764,Seattle,WA,98103,studio,8776,Individual,"24 months"
00765,Aurora,CO,80010,4BR+,5262,Individual,"6 months"
00767,Austin,TX,78701,1BR,2555,"Property Management Co","6 months"
00769,"New York",NY,10002,2BR,5740,LLC,"12 months"
00770,Denver,CO,80205,4BR+,8308,Corporate,"12 months"
00771,Houston,TX,77025,1BR,2889,Corporate,"6 months"
00772,Tempe,AZ,85281,3BR,2564,Individual,"18 months"
00773,Oakland,CA,94601,4BR+,3917,LLC,"6 months"
00774,Austin,TX,787XX,2BR,3939,Corporate,"12 months"
00775,Queens,NY,11101,Studio,1123,"Property Management Co","12 months"
00776,"Los Angeles",CA,90025,2BR,2060,Individual,"24 months"
00777,Nashville,TN,37201,3BR,2385,Corporate,"12 months"
00778,Chicago,IL,60601,1BR,2095,"Property Management Co","18 months"
00779,Austin,TX,78704,4BR+,8105,Corporate,"12 months"
00780,Phoenix,AZ,85001,3BR,3218,"Property Management Co","24 months"
00782,Denver,CO,80205,3BR,3312,LLC,"18 months"
00783,Decatur,GA,30030,3BR,4523,Corporate,"12 months"
00784,Portland,OR,97201,3BR,2488,Corporate,"6 months"
00785,Denver,CO,80201,3BR,4633,LLC,"12 months"
00786,Miami,FL,33130,1BR,2372,Individual,"12 months"
00787,Denver,CO,80201,1BR,1854,Corporate,"12 months"
00789,Atlanta,GA,30308,Studio,1021,REIT,"12 months"
00790,Washington,DC,20009,3BR,5966,REIT,"18 months"
00791,Chicago,IL,60647,2BR,4351,Corporate,"12 months"
00792,Austin,TX,78704,2BR,4394,LLC,"12 months"
00793,"New York",NY,10001,4BR+,9255,Corporate,"6 months"
00794,"New York",NY,10003,Studio,2781,LLC,"18 months"
00795,Washington,DC,20001,1BR,1538,"Property Management Co","18 months"
00796,Tempe,AZ,85281,1BR,1349,LLC,"12 months"
00797,Houston,TX,77019,4BR+,4333,LLC,"24 months"
00799,Phoenix,AZ,85001,3BR,2542,LLC,"18 months"
00800,Arlington,VA,22201,1BR,2389,,"12 months"
00801,Brooklyn,NY,11205,2BR,5077,Corporate,"6 months"
00803,Houston,TX,77025,4BR+,8410,Individual,"12 months"
00804,Austin,TX,78701,2BR,3157,"Property Management Co","12 months"
00805,Scottsdale,AZ,85251,2BR,1905,"Property Management Co","24 months"
00806,Miami,FL,33130,2BR,2031,Individual,"12 months"
00807,Houston,TX,77025,2BR,1816,"Property Management Co","24 months"
00808,Austin,TX,78704,1BR,1658,Individual,"6 months"
00809,Nashville,TN,37201,Studio,1445,Individual,"18 months"
00810,"San Francisco",CA,94102,2BR,6694,"Property Management Co","24 months"
00811,Tempe,AZ,85281,1BR,1928,Individual,"12 months"
00812,Austin,TX,78704,2BR,2981,REIT,"12 months"
00813,Bellevue,WA,98004,1BR,2320,"Property Management Co","18 months"
00814,"New York",NY,10003,4BR+,10561,LLC,"24 months"
00815,Austin,TX,78704,studio,4796,Corporate,"12 months"
00817,"Los Angeles",CA,90001,3BR,4636,REIT,"6 months"
00818,Houston,TX,77019,4BR+,4032,Corporate,"18 months"
00819,Boston,MA,02115,2BR,4409,LLC,"12 months"
00820,"New York",NY,10003,1BR,4726,,"6 months"
00821,Houston,TX,77019,1BR,2525,LLC,"12 months"
00822,"Los Angeles",CA,900XX,Studio,831,Corporate,"12 months"
00823,"Los Angeles",CA,90036,4BR+,6739,"Property Management Co","12 months"
00824,Aurora,CO,80010,1BR,1679,Corporate,"24 months"
00825,Chicago,IL,60614,Studio,2125,LLC,"12 months"
00826,Portland,OR,97201,3BR,4477,LLC,"18 months"
00827,"Fort Lauderdale",FL,33301,2BR,4292,Corporate,"12 months"
00828,Scottsdale,AZ,,studio,2139,Individual,"12 months"
00829,"Los Angeles",CA,90036,studio,5048,LLC,"18 months"
00830,"Los Angeles",CA,90001,4BR+,3581,Corporate,"6 months"
00831,Miami,FL,,1BR,2230,"Property Management Co","6 months"
00832,Denver,CO,80201,1BR,1726,Corporate,"18 months"
00833,Aurora,CO,80010,2BR,4251,Corporate,"12 months"
00834,Nashville,TN,37206,1BR,1260,LLC,"12 months"
00836,"Fort Lauderdale",FL,33301,2BR,4425,Corporate,"12 months"
00837,Denver,"CO ",80205,3BR,5505,LLC,"12 months"
00838,Denver,CO,80205,4BR+,6123,Individual,"24 months"
00839,Miami,FL,33130,4BR+,4289,Individual,"24 months"
00840,"Los Angeles",CA,90025,3BR,2781,Corporate,"24 months"
00841,Arlington,VA,22201,3BR,2994,Corporate,"12 months"
00843,"Los Angeles",CA,90036,Studio,1433,Individual,"12 months"
00844,Washington,DC,20001,2BR,3722,Corporate,"12 months"
00845,Houston,TX,77025,4BR+,5978,Individual,"18 months"
00846,Scottsdale,AZ,85251,Studio,1835,Corporate,"12 months"
00847,Miami,FL,33130,4BR+,5656,Individual,"12 months"
00848,Decatur,GA,30030,4BR+,5897,Corporate,"12 months"
00849,Nashville,TN,37206,3BR,2225,"Property Management Co","24 months"
00850,Denver,CO,80205,1BR,3039,REIT,"12 months"
00851,"Fort Lauderdale","FL ",33301,Studio,1966,"Property Management Co","24 months"
00852,Scottsdale,AZ,85251,Studio,1078,"Property Management Co","12 months"
00854,Queens,NY,11101,3BR,2326,"Property Management Co","12 months"
00855,Phoenix,AZ,85001,Studio,902,Corporate,"12 months"
00856,Boston,MA,02101,Studio,847,LLC,"12 months"
00857,Houston,TX,77019,Studio,1559,LLC,"12 months"
00858,Seattle,WA,98101,3BR,5133,LLC,"12 months"
00859,"Fort Lauderdale",FL,33301,4BR+,5208,Corporate,"18 months"
00860,"San Francisco",CA,94110,2BR,3367,REIT,"12 months"
00861,Phoenix,AZ,85001,"2 bed",3083,Individual,"18 months"
00862,Oakland,CA,94601,3BR,3581,LLC,"12 months"
00863,Queens,NY,11101,Studio,1256,Corporate,"24 months"
00865,Houston,TX,77001,Studio,1418,Corporate,"12 months"
00866,"New York",NY,10001,1BR,2475,"Property Management Co","12 months"
00868,"New York",NY,10003,1BR,3468,"Property Management Co","18 months"
00869,"San Antonio",TX,78201,Studio,1775,"Property Management Co","12 months"
00870,Oakland,CA,94601,Studio,1997,Corporate,"18 months"
00871,"New York",NY,10003,1BR,4204,REIT,"12 months"
00872,Oakland,CA,94601,2BR,2017,Individual,"12 months"
00874,Cambridge,MA,02139,4BR+,5861,Corporate,"12 months"
00875,Chicago,IL,60647,3BR,5455,LLC,"6 months"
00876,Bellevue,WA,98004,3BR,4622,REIT,"12 months"
00877,Nashville,TN,37201,2BR,4247,Corporate,"6 months"
00878,Chicago,IL,60647,Studio,1562,REIT,"12 months"
00879,Nashville,TN,37206,Studio,887,"Property Management Co","12 months"
00880,Seattle,WA,98101,1BR,2515,"Property Management Co","6 months"
00881,Phoenix,AZ,85001,4BR+,7992,"Property Management Co","6 months"
00882,"New York",NY,10001,2BR,5712,Individual,"18 months"
00883,Chicago,IL,60614,4BR+,6261,"Property Management Co","24 months"
00884,Queens,NY,11101,4BR+,6297,Corporate,"18 months"
00885,Tempe,AZ,85281,1BR,1865,"Property Management Co","12 months"
00886,"San Francisco",CA,94110,1BR,2266,LLC,"12 months"
00887,Nashville,TN,37201,3BR,5073,LLC,"18 months"
00888,"Fort Lauderdale",FL,33301,3BR,5223,"Property Management Co","18 months"
00889,Oakland,CA,94601,3BR,4490,Corporate,"12 months"
00890,"San Francisco",CA,94110,4BR+,11679,Individual,"12 months"
00891,Decatur,GA,300XX,4BR+,5216,"Property Management Co","24 months"
00894,Washington,DC,20009,1BR,2625,"Property Management Co","12 months"
00895,Chicago,"IL ",60601,1BR,2425,REIT,"12 months"
00896,Seattle,WA,98103,4BR+,7237,Individual,"12 months"
00897,"Los Angeles",CA,90036,1BR,1378,REIT,"12 months"
00898,Nashville,TN,37206,2BR,2015,Individual,"12 months"
00899,Washington,DC,20009,1BR,1678,REIT,"12 months"
00900,Tempe,AZ,85281,4BR+,7340,LLC,"12 months"
00901,Atlanta,GA,30308,3BR,5588,"Property Management Co","6 months"
00902,Boston,MA,02115,3BR,3343,Corporate,"12 months"
00903,Miami,FL,331XX,2BR,4424,Individual,"12 months"
00904,Chicago,IL,60614,2BR,3707,REIT,"18 months"
00906,Boston,MA,02101,4BR+,5692,Individual,"18 months"
00907,"Los Angeles",CA,90025,Studio,1983,Corporate,"12 months"
00909,"San Francisco",CA,94110,Studio,1231,Individual,"6 months"
00910,"Los Angeles",CA,90036,2BR,2446,"Property Management Co","6 months"
00911,"New York",NY,10001,2BR,5043,Individual,"18 months"
00912,"New York",NY,10003,1BR,3123,LLC,"24 months"
00913,Aurora,CO,80010,Studio,871,Individual,"12 months"
00914,"New York",NY,10001,2BR,4978,Individual,"12 months"
00915,Miami,FL,33130,4BR+,4418,REIT,"12 months"
00916,Houston,TX,77001,Studio,2114,"Property Management Co","12 months"
00917,Denver,CO,80205,2BR,1657,Corporate,"12 months"
00918,"New York",NY,100XX,2BR,3828,REIT,"12 months"
00919,Decatur,GA,30030,Studio,921,LLC,"12 months"
00920,Seattle,WA,98103,1BR,3429,Individual,"24 months"
00922,"San Francisco",CA,94102,Studio,1279,Individual,"12 months"
00923,Bellevue,WA,98004,2BR,3631,REIT,"24 months"
00924,Denver,CO,80205,Studio,1095,Corporate,"6 months"
00926,Bellevue,WA,98004,4BR+,6521,LLC,"6 months"
00928,Atlanta,GA,30301,1BR,1623,REIT,"12 months"
00929,Brooklyn,NY,,1BR,4669,REIT,"18 months"
00931,"New York",NY,10003,3BR,6637,LLC,"6 months"
00932,Miami,FL,33101,3BR,5814,,"12 months"
00933,Miami,FL,33101,2BR,1722,LLC,"24 months"
00934,Atlanta,GA,30308,Studio,1838,REIT,"12 months"
00936,Boston,MA,02115,4BR+,6256,LLC,"24 months"
00937,Chicago,IL,606XX,1BR,2849,REIT,"12 months"
00938,Austin,TX,78704,3BR,5580,REIT,"12 months"
00939,Atlanta,GA,303XX,1BR,2401,"Property Management Co","18 months"
00940,Austin,TX,78704,3BR,5707,LLC,"12 months"
00941,Miami,FL,33101,2BR,2859,REIT,"12 months"
00942,Nashville,TN,37201,2BR,2106,Corporate,"18 months"
00943,Chicago,IL,606XX,Studio,1881,REIT,"24 months"
00944,Chicago,IL,60647,1BR,1585,Individual,"12 months"
00946,Boston,MA,02115,4BR+,7766,"Property Management Co","6 months"
00947,Phoenix,AZ,85001,1BR,2917,LLC,"18 months"
00949,Chicago,IL,60614,2BR,2395,REIT,"12 months"
00950,Austin,TX,78704,2BR,4138,"Property Management Co","24 months"
00951,Atlanta,"GA ",30301,2BR,2467,LLC,"6 months"
00952,Chicago,IL,60601,Studio,1554,Individual,"12 months"
00953,Scottsdale,AZ,85251,3BR,4270,"Property Management Co","18 months"
00954,Cambridge,MA,02139,4BR+,5967,"Property Management Co","12 months"
00956,"New York",NY,10002,1BR,3471,Corporate,"6 months"
00957,Austin,TX,78704,3BR,2242,"Property Management Co","12 months"
00958,Atlanta,GA,30301,3BR,2413,Corporate,"18 months"
00959,Chicago,IL,60601,3BR,5906,"Property Management Co","6 months"
00960,"San Francisco",CA,94110,Studio,1941,Individual,"6 months"
00961,Scottsdale,AZ,85251,Studio,1666,"Property Management Co","12 months"
00963,Boston,MA,02101,Studio,867,"Property Management Co","18 months"
00964,"New York",NY,10003,3BR,4260,Corporate,"12 months"
00965,Houston,TX,77025,2BR,2822,Corporate,"12 months"
00966,"New York","NY ",10002,3BR,5971,Corporate,"12 months"
00967,Seattle,"WA ",98103,1BR,1849,Individual,"6 months"
00968,"Los Angeles",CA,90025,4BR+,3273,REIT,"6 months"
00969,Atlanta,GA,30308,Studio,1510,Individual,"12 months"
00970,"San Antonio",TX,78201,2BR,2738,"Property Management Co","12 months"
00972,Atlanta,GA,30308,2BR,2707,Individual,"12 months"
00973,"San Francisco",CA,94110,3BR,6163,REIT,"24 months"
00974,"New York",NY,10001,2BR,5425,LLC,"24 months"
00975,Seattle,WA,98101,3BR,5349,Corporate,"12 months"
00976,Phoenix,AZ,85001,1BR,1789,LLC,"12 months"
00979,Houston,TX,77025,1BR,1922,LLC,"12 months"
00980,Denver,CO,80205,Studio,1656,Corporate,"12 months"
00982,Portland,OR,97201,1BR,2297,LLC,"12 months"
00983,Seattle,WA,98101,4BR+,7783,Individual,"12 months"
00984,Denver,CO,802XX,1BR,1269,REIT,"12 months"
00985,Miami,FL,33101,2BR,1733,LLC,"12 months"
00986,Queens,NY,11101,4BR+,6392,LLC,"6 months"
00988,"Fort Lauderdale",FL,33301,3BR,3065,Corporate,"6 months"
00989,Washington,DC,20001,Studio,1848,Corporate,"12 months"
00990,"New York",NY,10002,2BR,2533,"Property Management Co","12 months"
00991,Brooklyn,NY,11201,Studio,2434,"Property Management Co","12 months"
00992,Houston,TX,77025,3BR,4386,Individual,"24 months"
00993,Oakland,CA,94601,Studio,1031,LLC,"24 months"
00994,"Fort Lauderdale",FL,33301,1BR,1700,REIT,"6 months"
00995,"Los Angeles",CA,90001,3BR,5972,"Property Management Co","18 months"
00996,Washington,DC,20009,4BR+,6294,Individual,"12 months"
00998,Miami,FL,33101,4BR+,4435,LLC,"24 months"
00999,Seattle,"WA ",98101,1BR,2646,"Property Management Co","24 months"
01000,Austin,TX,78704,Studio,1070,"Property Management Co","12 months"
01001,Portland,OR,97201,2BR,2086,"Property Management Co","12 months"
01002,Seattle,WA,98101,4BR+,8313,LLC,"12 months"
01003,"San Francisco",CA,94102,4BR+,8736,"Property Management Co","12 months"
01004,Austin,TX,78704,4BR+,5466,Corporate,"12 months"
01005,"New York",NY,10001,Studio,1213,Individual,"6 months"
01006,"New York",NY,10002,1BR,4695,Corporate,"24 months"
01008,Denver,CO,80205,4BR+,8397,REIT,"12 months"
